0000	Ausgabe Ende
0129	Geber fuer Getriebedrehzahl-G38
012A	Schalter fuer Differentialsperre-E121
012B	Programmschalter-E122
012C	Geber fuer Getriebeoeltemperatur-G93
012D	Rueckfoerderpumpe fuer ABS-V39
012E	Relais fuer Magnetventile ABS-J106
012F	Funktionswahlschalter-E91
012F	
0131	Kraftstoffverbrauchsanzeige-Signal
0132	Sekundaerluftsystem Zylinder-Reihe 1
0133	Sekundaerluftsystem Zylinder-Reihe 2
0134	
0135	Dosierpumpe fuer Reinigungsmittel-V135
0136	Temperaturfuehler 1 fuer Katalysator-G20
0137	
0138	Temperaturfuehler 2 fuer Katalysator-G132
0139	Katalysator
013A	Zweiwegeventil fuer Abgasrueckfuehrung-N161
013B	
013C	
013D	
013E	
013F	
0140	
0141	
0142	
0143	
0144	
0145	
0146	
0147	
0148	
0149	
014A	
014B	
014C	
014D	
014E	
014F	
0150	
0151	
0152	
0153	
0154	
0155	
0156	
0157	
0158	
0159	
015A	
015B	Magnetventil 8
015C	Magnetventil 9
015D	Magnetventil 10
015E	Masserueckfuehrung Modulationsventile
015F	Geber fuer Drehzahl Zwischenwelle-G265
0160	
0161	
0162	
0163	
0164	
0165	
0166	
0167	
0168	
0169	
016A	
016B	
016C	
016D	
016E	
016F	
0170	
0171	
0172	
0173	
0174	
0175	
0176	
0177	
0178	
0179	
017A	
017B	
017C	
017D	
017E	
017F	
0180	
0181	
0182	
0183	
0184	
0185	
0186	
0187	
0188	
0189	
018A	
018B	
018C	
018D	
018E	
018F	
0190	
0191	
0192	
0193	
0194	
0195	
0196	
0197	
0198	
0199	
019A	
019B	
019C	
019D	
019E	
019F	
01A0	
01A1	
01A2	
01A3	
01A4	
01A5	
01A6	
01A7	
01A8	
01A9	
01AA	
01AB	
01AC	
01AD	
01AE	
01AF	
01B0	
01B1	
01B2	
01B3	
01B4	
01B5	
01B6	Geber 2 fuer Kraftstoffvorrat-G169
01B7	Geber 3 fuer Kraftstoffvorrat-G237
01B8	Geber fuer Kraftstoffvorrat-Zusatztank-G292
01B9	Geber fuer Schwimmerstand Kraftstoffvorrat-Zusatztank-G293
01BA	Klemme 87F Kraftstoffpumpe
01BB	Sicherung Kraftstoffpumpe Zusatztank-S266
01BC	Ansteuerung Kraftstoffpumpe Zusatztank
01BD	
01BE	
01BF	
01C0	Pumpe fuer Haldexkupplung -V181
01C1	Vorladepumpe an
01C2	Vorladepumpe aus
01C3	Allradkupplung getrennt
01C4	Allradkupplung geschlossen
01C5	Funktionseinschraenkung durch uebertemperatur
01C6	Allradueberwachung
01C7	Steuergeraet fuer Zugang und Startberechtigung am Komfort CAN-J518
01C8	Steuergeraet fuer Zugang und Startberechtigung-J518
01C9	Steuergeraet fuer Bordnetz-J519
01CA	Steuergeraet fuer Batterieueberwachung-J367
01CB	Steuergeraet, Anzeige und Bedieneinheit fuer Information, vorne-J523 
01CC	Steuergeraet, Anzeige und Bedieneinheit fuer Information, hinten-J524 
01CD	Steuergeraet fuer Sitzverstellung mit Memory, Beifahrer-J521
01CE	Steuergeraet fuer Sitzverstellung mit Memory, hinten-J522
01CF	Steuergeraet fuer Digitales Soundpacket-J525
01D0	Steuergeraet mit Anzeigeeinheit fuer Radio und Navigation-J503 
01D1	Steuergeraet fuer Telefon/Telematik-J526
01D2	Steuergeraet fuer Lenksaeulenelektronik-J527
01D3	TV-Tuner-R78
01D4	CD-ROM Laufwerk-R92
01D5	Datenbus Infotainment im Eindraht
01D6	Konzern-Datenbus Komfort im Eindraht
01D7	Steuergeraet fuer EGD elektronisch geregelte Daempfung-J250
01D8	Steuergeraet fuer Bremskraftverstaerkung-J539 
01D9	Steuergeraet fuer elektrische Park-/Handbremse-J540   
01DA	Steuergeraet fuer Wegfahrsperre, keine Kommunikation
01DB	Steuergeraet fuer Schiebetuer-J558
01DC	Steuergeraet fuer Kraftstoffpumpe-J538
01DD	Steuergeraet, Anzeige und Bedieneinheit fuer Informationam Komfort CAN, vorne-J523 
01DE	Steuergeraet, Anzeige und Bedieneinheit fuer Information am Komfort CAN , hinten-J524 
01DF	Steuergeraet fuer Fernbedienung-Zentralverriegelung-J276
01E0	Steuergeraet im Schalttafeleinsatz am Infotainment CAN-J285
01E1	Steuergeraet fuer Verkehrsfunk-J559
01E2	Anzeigeeinheit fuer TV und Video, hinten-R97
01E3	
01E4	
01E5	
01E6	
01E7	
01E8	
01E9	
01EA	
01EB	
01EC	
01ED	ESP-Sensoreinheit 
01EE	ESP-Sensoreinheit, falsches Bauteil
01EF	ESP-Sensoreinheit, Versorgungsspannung
01F0	Geber fuer Fahrzeugniveau vorne
01F1	Geber fuer Fahrzeugniveau hinten 
01F2	Fahrtschreiber
01F3	Anzeige fuer Bordspannung-Y11
01F4	Anzeige fuer oeltemperatur-Y12
01F5	Kontrollampe fuer oelstand-K38
01F6	Kontrollampe fuer Wegfahrsperre-K115
01F7	Ansteuerung Ventile Pumpe/Duese
01F8	Ventil fuer Pumpe/Duese Zylinder 1-N240
01F9	Ventil fuer Pumpe/Duese Zylinder 2-N241
01FA	Ventil fuer Pumpe/Duese Zylinder 3-N242
01FB	Ventil fuer Pumpe/Duese Zylinder 4-N243
01FC	Ventil fuer Pumpe/Duese Zylinder 5-N244
01FD	Ventil fuer Pumpe/Duese Zylinder 6-N245
01FE	
01FF	Waehlhebel-E313
0200	Hallgeber nicht auf Bezugsmarke
0201	Geber fuer Motordrehzahl-G28
0202	Geber fuer Zuendzeitpunkt-G4
0203	Hallgeber-G40
0204	Leerlaufschalter-F60
0205	Vollastschalter-F81
0206	Drosselklappenpotentiometer-G69
0207	Geber fuer Saugrohrdruck-G71
0208	Luftmassen-/mengenmesser-G70/G19
0209	CO-Potentiometer-G74
020A	Geber fuer Kuehlmitteltemperatur-G62
020B	Geber fuer Ansauglufttemperatur-G42
020C	Klopfsensor 1-G61
020D	Lambda-Sonde-G39
020E	Bremslichtschalter-F
020F	Geber fuer Saugrohrtemperatur-G72
0210	Hoehengeber-F96
0211	Drehzahlinformation fehlt
0212	Drosselklappensteller/Potentiometer-G88
0213	Luftmassenmesser Referenzspannung
0214	Versorgungsspannung
0215	Leerlaufregelung
0216	Geber fuer oeltemperatur-G8
0217	Erste Klopfregelung
0218	Zweite Klopfregelung
0219	Lambda-Regelung
021A	Referenzspannung
021B	Geber fuer Kraftstofftemperatur-G81
021C	Klopfsensor 2-G66
021D	Potentiometer fuer Schieberweg-G99
021E	Geber fuer Nadelhub-G80
021F	Drehzahl nach Maximum ueberschritten
0220	Ladedruck nach Maximum ueberschritten
0221	Motor/Getriebe elektrische Verbindung
0222	Datenleitung defekt
0223	Druckkontrollschalter fuer ABS-F137
0224	Spannungsversorgung Fehlerspeicher
0225	Verbrauchssignal
0226	Spritzbeginnregelung
0227	Katalysatoruebertemperatur
0228	Potentiometer fuer Luftmengenmesser-G19
0229	Luftmassenmesser-G70
022A	Lambda-Regelung 2
022B	Lambda-Sonde 2-G108
022C	Potentiometer fuer Abgasrueckfuehrung-G212
022D	Druckschalter Servolenkung-F88
022E	Einstellgrenze Gemischregler mager
022F	Einstellgrenze Gemischregler fett
0230	Abgasrueckfuehrungssystem
0231	Gemischanpassung
0232	Geber fuer oelstand-/Temperatur-G266
0233	Anzeige fuer Momentanverbrauch-Y10
0234	
0235	Bedienungs-und Anzeigeeinheit fuerClimatronic hinten-E265
0236	Lenkhilfe-Betrieb
0237	Ansteuerung Lenkmotor
0238	Positionssensoren im Lenkmotor
0239	Strom Lenkmotor
023A	Relais fuer Lenkmotor-J509
023B	Lenkkopplung
023C	Geber fuer Lenkposition-G268
023D	Geber fuer Lenkmoment-G269
023E	Antriebsmotor ein
023F	Saugrohrdruck
0240	Klemme 15
0241	Klopfregelung Zylinder 1
0242	Klopfregelung Zylinder 2
0243	Klopfregelung Zylinder 3
0244	Klopfregelung Zylinder 4
0245	Klopfregelung Zylinder 5
0246	Klopfregelung Zylinder 6
0247	Klopfregelung Zylinder 7
0248	Klopfregelung Zylinder 8
0249	Temperaturfuehler Abgasrueckfuehrung-G98
024A	Regelung Abgasrueckfuehrungssystem
024B	Einstellgrenze Gemischregler
024C	Zuender fuer Airbag (Fahrerseite)-N95
024D	Zuender 1 fuer Airbag (Beifahrerseite)-N131
024E	Zuender 2 fuer Airbag (Beifahrerseite)-N132
024F	Gurtschalter Fahrerseite-E24
0250	Gurtschalter Beifahrerseite-E25
0251	Sitzkontaktschalter Beifahrersitz-F151
0252	Zuendkreise Airbag
0253	Crashdaten gespeichert
0254	Kurzschluss zwischen Ventilleitungen
0255	Unterschiedliche Raddrehzahlimpulse
0256	Hydraulisch-/mechanischer Fehler
0257	Plausibilitaet Druck-/Bremslichtschalter
0258	Potentiometer-Stellmotor\nfuer Temperaturklappe-G92
0259	Potentiometer-Stellmotor\nfuer Zentralklappe-G112
025A	Potentiometer-Stellmotor\nfuer Fussraum-/Defrostklappe-G114
025B	Stellmotor fuer Fussraum-/Defrostklappe-V85
025C	Potentiometer-Stellmotor\nfuer Staudruckklappe-G113
025D	Zweiwegeventil Frisch-/Umluftklappe-N63
025E	Zweiwegeventil fuer Kuehlmittelabsperrventil-N147
025F	Aussentemperaturanzeiger-G106
0260	Geber fuer Beladungszustand-G119
0261	Zuendausgang 1
0262	Zuendausgang 2
0263	Zuendausgang 3
0264	Zuendausgang 4
0265	Zuendausgang 5
0266	Zuendausgang 6
0267	Zuendausgang 7
0268	Zuendausgang 8
0269	Geber fuer Verzoegerung links-Airbag-G104
026A	Geber fuer Verzoegerung rechts-Airbag-G105
026B	Geberzuleitung links
026C	Geberzuleitung rechts
026D	Ventil fuer Druckminderung-N155
026E	Kraftstoffilter entwaessern
026F	ABS/Getriebe elektrische Verbindung
0270	Klimakompressoreingriff
0271	Geschwindigkeitssignal
0272	Kontrollampe fuer Vorgluehzeit-K29
0273	Geber fuer Wasserstand-G120
0274	Stellgroessenueberwachung
0275	Bremspedalschalter-F47
0276	Klimaanlage eingeschaltet
0277	Verbindung AC - Motronic
0278	Klimatronic Kombi Interface
0279	Leitungen Zuender/Geber fuer Verzoegerung
027A	Vorwiderstand fuer EDS-N159
027B	Heizung Lambdasonde vor Katalysator
027C	Geber fuer Beschleunigung vorn rechts-G121
027D	Geber fuer Beschleunigung hinten links-G122
027E	Motor/Getriebe elektrische Verbindung 2
027F	Geber fuer Verzoegerung-G123
0280	Relais fuer Heizung Lambdasonde-J278
0281	ATF Temperatur
0282	EDS Umschaltventil vorn rechts-N166
0283	EDS Auslassventil vorn rechts-N167
0284	EDS Umschaltventil vorn links-N168
0285	EDS Auslassventil vorn links-N169
0286	ABS-ASR/Motor elektrische Verbindung 1
0287	ABS-ASR/Motor elektrische Verbindung 2
0288	Heizung Lambdasonde nach Katalysator
0289	Ein-/Auslassventil ABS hinten-N160
028A	Kupplungspedalschalter-F36
028B	Leitungen fuer Zuendkreise
028C	Gangueberwachung
028D	Plausibilitaet Waehlhebel/Getriebe
028E	Zuender Gurtstraffer (Fahrerseite)-N153
028F	Zuender Gurtstraffer (Beifahrerseite)-N154
0290	Sitzbelegungssensor (Beifahrerseite)-G128
0291	Stellmotor fuer Mittenausstroemer-V102
0292	Bedienungseinheit
0293	Selbsttest
0294	Kickdownschalter/Drosselklappenpotentiometer
0295	Temperaturanzeige
0296	Drehzahlmesser
0297	Geschwindigkeitsmesser
0298	Kraftstoffvorratsanzeige
0299	Kontrollampe fuer Gurtwarnung-K19
029A	Gong
029B	Aussentemperatursignal
029C	Bordspannung Klemme 30
029D	zweite Fehlerlampe-K97
029E	Geber fuer Drosselklappensteller-G127
029F	Schalter fuer GRA-E45
02A0	Hydraulikpumpe ABS mit Vorwiderstand
02A1	Bremse betaetigen
02A2	Bremse loesen
02A3	Evl:0V   Avl:0V   Rad vorn links blockiert
02A4	Evl:UBAT   Avl:0V   Rad vorn links blockiert
02A5	Evl:UBAT   Avl:UBAT   Rad vorn links frei
02A6	Evl:UBAT   Avl:0V   Rad vorn links frei
02A7	Heizung Lambdasonde 2 vor Katalysator
02A8	Evr:0V   Avr:0V   Rad vorn rechts blockiert
02A9	Evr:UBAT   Avr:0V   Rad vorn rechts blockiert
02AA	Evr:UBAT   Avr:UBAT   Rad vorn rechts frei
02AB	Evr:UBAT   Avr:0V   Rad vorn rechts frei
02AC	Heizung Lambdasonde 2 nach Katalysator
02AD	Ehl:0V   Ahl:0V   Rad hinten links blockiert
02AE	Ehl:UBAT   Ahl:0V   Rad hinten links blockiert
02AF	Ehl:UBAT   Ahl:UBAT   Rad hinten links frei
02B0	Ehl:UBAT   Ahl:0V   Rad hinten links frei
02B1	Falschluft im Ansaugsystem
02B2	Ehr:0V   Ahr:0V   Rad hinten rechts blockiert
02B3	Ehr:UBAT   Ahr:0V   Rad hinten rechts blockiert
02B4	Ehr:UBAT   Ahr:UBAT   Rad hinten rechts frei
02B5	Ehr:UBAT   Ahr:0V   Rad hinten rechts frei
02B6	Beleuchtung/Schalter und Instrumente
02B7	EDS-Ventile/Hydraulikpumpe:UBAT\n Rad vorn links/vorn rechts blockiert
02B8	Ventil fuer Druckminderer links-N170
02B9	Ventil fuer Druckminderer rechts-N171
02BA	Steuergeraet erhoehte Stromaufnahme
02BB	Lambdasonde nach Katalysator-G130
02BC	Lambdasonde 2 nach Katalysator-G131
02BD	Kuehlmittel-uebertemperaturtest
02BE	Geber fuer Kraftstoffzusammensetzung-G133
02BF	Leerlauferkennung\nDrosselklappenpotentiometer/Leerlaufschalter
02C0	EDS Ventile/Hydr-P:UBAT-Raeder blockiert
02C1	Relais fuer Kuehlerluefter Stufe 1 - J279
02C2	Relais fuer Kuehlerluefter Stufe 2 - J513
02C3	Ventil fuer Mittelduesen - N236
02C4	VORSICHT Luefter wird eingeschaltet
02C5	Fotosensor 2 fuer Sonneneinstrahlung-G134
02C6	Stellmotor fuer Defrostklappe-V107
02C7	Stellmotor fuer Fussraumklappe links-V108
02C8	Stellmotor fuer Fussraumklappe rechts-V109
02C9	Stellmotor fuer Mittenausstroemer links-V110
02CA	Stellmotor fuer Mittenausstroemer rechts-V111
02CB	Stellmotor fuer Fondausstroemer-V112
02CC	Stellmotor fuer Umluftklappe-V113
02CD	Stellmotor fuer AKF-Klappe-V114
02CE	Schalter fuer Duese links oben-F179
02CF	Schalter fuer Duese rechts oben-F180
02D0	Schalter fuer Duese links unten-F181
02D1	Schalter fuer Duese rechts unten-F182
02D2	Schalter fuer Duese links Mitte-F183
02D3	Schalter fuer Duese rechts Mitte-F184
02D4	Schalter fuer Duese Fondraum links-F185
02D5	Schalter fuer Duese Fondraum rechts-F186
02D6	Schalter fuer Duese Fondraum Mitte-F187
02D7	Potentiometer im Stellmotor\nfuer Defrostklappe-G135
02D8	Potentiometer im Stellmotor\nfuer Mittenausstroemer links-G136
02D9	Potentiometer im Stellmotor\nfuer Mittenausstroemer rechts-G137
02DA	Potentiometer im Stellmotor\nfuer Mittenausstroemer-G138
02DB	Potentiometer im Stellmotor\nfuer Fussraumklappe links-G139
02DC	Potentiometer im Stellmotor\nfuer Fussraumklappe rechts-G140
02DD	Potentiometer im Stellmotor\nfuer Fondausstroemer-G141
02DE	Potentiometer in Mittelduese-G142
02DF	Potentiometer im Stellmotor\nfuer Umluftklappe-G143
02E0	Potentiometer im Stellmotor\nfuer AKF-Klappe-G144
02E1	Ventil fuer Heizungsregelung links-N175
02E2	Ventil fuer Heizungsregelung rechts-N176
02E3	Pumpe fuer Kuehlmittelumlauf-V50
02E4	Geber fuer Zylinder 1 Erkennung-G145
02E5	Bremspedalueberwachung
02E6	Fahrbatterie-Belueftungssystem
02E7	Geber fuer Batteriebelueftung-G146
02E8	Fahrbatterie-Temperaturregelung
02E9	Isolationsueberwachung
02EA	Fahrbatterie Zellenausfall
02EB	Geber fuer Batterietemperatur vorn-G52
02EC	Geber fuer Batterietemperatur hinten-G53
02ED	Lueftungsklappe
02EE	Fehlerlampe
02EF	Kapazitaetsanzeige Fahrbatterie
02F0	Luefter und Batterieheizung
02F1	Elektrische Verbindungen Raddrehzahlimpulse
02F24	Heissleuchte
02F3	Kontrollampe fuer oeldruck-K3
02F4	Geber fuer Ausstroemtemperatur links-G150
02F5	Geber fuer Ausstroemtemperatur rechts-G151
02F6	Sekundaerluftsystem
02F7	Einsteller fuer Ausstroemtemperatur links-G155
02F8	Einsteller fuer Ausstroemtemperatur rechts-G156
02F9	Fehler in Motorsteuergeraet gespeichert
02FA	Einspritzventil-N181
02FB	Geber fuer Gasdruck (Fahrerseite)-G147
02FC	Geber fuer Gasdruck (Beifahrerseite)-G148
02FD	Geber fuer Regelschieberweg-G149
02FE	Geber fuer Ausstroemtemperatur vorn-G152
02FF	Geber fuer Verdampfertemperatur hinten-G153
0300	Geber fuer Waermetauschertemperatur hinten-G154
0301	Geber Kuehlmitteltemperatur Motorausgang-G82
0302	Geber Kuehlmitteltemperatur Kuehlerausgang-G83
0303	Geber fuer Kraftstoffvorratsanzeige-G
0304	oeldruckschalter-F22
0305	Geber fuer oeldruck-G10
0306	Geber fuer Fahrzeugniveau hinten links-G76
0307	Geber fuer Fahrzeugniveau hinten rechts-G77
0308	Geber fuer Fahrzeugniveau vorn links-G78
0309	Geber fuer Gaspedalstellung-G79
030A	Geber fuer Lenkwinkel-G85
030B	Temperaturfuehler Aussentemperatur-G17
030C	Geber fuer Vertikalbeschleunigung-G90
030D	Stellmotor vorn links-V76
030E	Stellmotor vorn rechts-V77
030F	Stellmotor hinten links-V78
0310	Stellmotor hinten rechts-V79
0311	Temperaturfuehler Schalttafel-G56
0312	Temperaturfuehler Dach-G86
0313	Temperaturfuehler Frischluftansaugkanal-G89
0314	Zweiwegeventil Fussraum-Defrostklappe-N118
0315	Schalter fuer Rueckwaertsfahrt-F41
0316	Frisch-/Umluftklappe
0317	Temperaturschalter fuer Verdampfer-E33
0318	Druckschalter fuer Klimaanlage-F129
0319	Geber fuer Bremspedalstellung-G100
031A	Geber fuer Hydraulikpumpe-G101
031B	Geber fuer Vertikalbeschleunigung hinten-G102
031C	Geblaese fuer Temperaturfuehler-V42
031D	Fotosensor fuer Sonneneinstrahlung-G107
031E	Segmenttest
031F	Geber fuer Kuehlmitteltemperatur-G110
0320	Temperaturfuehler Geblaese-G109
0321	Hochdruckschalter Magnetkupplung-F118
0322	Niederdruckschalter fuer Klimaanlage-F73
0323	Geber fuer Federweg vorn rechts-G116
0324	Geber fuer Federweg vorn links-G115
0325	Ventil fuer Federbein vorn links-N148
0326	Ventil fuer Federbein vorn rechts-N149
0327	Ventil fuer Federbein hinten links-N150
0328	Ventil fuer Federbein hinten rechts-N151
0329	Bremskraftverstaerker ESP
032A	Geber 1/2 fuer Bremsdruck
032B	System nicht abfragebereit
